 ,Area,Mean,Min,Max,X,Y,XM,YM,Slice
1,0,17,17,17,158,39,158,39,1
2,0,17,17,17,158,39,158,39,2
3,0,17,17,17,158,39,158,39,3
4,0,17,17,17,158,39,158,39,4
5,0,18,18,18,158,39,158,39,5
6,0,18,18,18,158,39,158,39,6
7,0,18,18,18,158,39,158,39,7
8,0,18,18,18,158,39,158,39,8
9,0,18,18,18,158,39,158,39,9
10,0,18,18,18,158,39,158,39,10
11,0,16,16,16,161,38,161,38,10
12,0,18,18,18,158,39,158,39,11
13,0,13,13,13,160,37,160,37,12
14,0,12,12,12,159,37,159,37,13
15,0,12,12,12,158,36,158,36,14
16,0,14,14,14,159,38,159,38,15
17,0,11,11,11,159,35,159,35,16
18,0,15,15,15,161,38,161,38,17
19,0,15,15,15,160,38,160,38,18
20,0,12,12,12,160,37,160,37,19
21,0,12,12,12,159,37,159,37,20
22,0,12,12,12,160,37,160,37,21
23,0,14,14,14,159,38,159,38,22
24,0,15,15,15,160,38,160,38,23
25,0,12,12,12,160,37,160,37,24
26,0,15,15,15,159,38,159,38,25
27,0,13,13,13,160,37,160,37,26
28,0,16,16,16,160,38,160,38,27
29,0,16,16,16,161,38,161,38,28
30,0,12,12,12,159,37,159,37,29
31,0,14,14,14,159,38,159,38,30
32,0,13,13,13,160,37,160,37,31
33,0,14,14,14,161,37,161,37,32
34,0,13,13,13,159,37,159,37,33
35,0,15,15,15,159,38,159,38,34
36,0,12,12,12,159,37,159,37,35
37,0,14,14,14,158,38,158,38,36
38,0,14,14,14,159,38,159,38,37
39,0,11,11,11,160,36,160,36,38
40,0,14,14,14,160,38,160,38,39
41,0,12,12,12,159,37,159,37,40
42,0,12,12,12,158,36,158,36,41
43,0,17,17,17,160,40,160,40,42
44,0,15,15,15,159,38,159,38,43
45,0,18,18,18,159,39,159,39,44
46,0,15,15,15,159,38,159,38,45
47,0,12,12,12,158,37,158,37,46
48,0,17,17,17,161,39,161,39,47
49,0,12,12,12,158,37,158,37,48
50,0,12,12,12,159,37,159,37,49
51,0,13,13,13,159,38,159,38,50
52,0,16,16,16,157,39,157,39,51
53,0,17,17,17,158,39,158,39,52
54,0,15,15,15,160,38,160,38,53
55,0,11,11,11,156,36,156,36,54
56,0,12,12,12,160,36,160,36,55
57,0,16,16,16,157,39,157,39,56
58,0,13,13,13,158,38,158,38,57
59,0,14,14,14,159,38,159,38,58
60,0,17,17,17,159,39,159,39,59
61,0,13,13,13,158,38,158,38,60
62,0,15,15,15,159,38,159,38,61
63,0,12,12,12,159,37,159,37,62
64,0,12,12,12,160,37,160,37,63
65,0,17,17,17,158,41,158,41,64
66,0,14,14,14,159,38,159,38,65
67,0,16,16,16,160,39,160,39,66
68,0,19,19,19,157,40,157,40,67
69,0,14,14,14,159,42,159,42,68
70,0,13,13,13,158,42,158,42,69
71,0,12,12,12,156,43,156,43,70
72,0,13,13,13,158,44,158,44,71
73,0,13,13,13,158,45,158,45,72
74,0,12,12,12,158,47,158,47,73
75,0,13,13,13,158,48,158,48,74
76,0,12,12,12,159,51,159,51,75
77,0,13,13,13,158,52,158,52,76
78,0,13,13,13,159,56,159,56,77
79,0,14,14,14,158,60,158,60,78
80,0,14,14,14,159,62,159,62,79
81,0,13,13,13,158,66,158,66,80
82,0,14,14,14,158,69,158,69,81
83,0,13,13,13,160,74,160,74,82
84,0,15,15,15,159,79,159,79,83
85,0,15,15,15,159,82,159,82,84
86,0,14,14,14,158,91,158,91,85
87,0,15,15,15,159,96,159,96,86
88,0,15,15,15,159,102,159,102,87
89,0,14,14,14,158,107,158,107,88
90,0,15,15,15,157,116,157,116,89
91,0,16,16,16,158,122,158,122,90
92,0,16,16,16,158,128,158,128,91
93,0,16,16,16,160,136,160,136,92
94,0,16,16,16,158,143,158,143,93
95,0,17,17,17,160,152,160,152,94
96,0,16,16,16,159,159,159,159,95
97,0,17,17,17,156,171,156,171,96
98,0,18,18,18,160,178,160,178,97
99,0,17,17,17,160,190,160,190,98
100,0,18,18,18,158,198,158,198,99
101,0,18,18,18,160,209,160,209,100
102,0,18,18,18,158,220,158,220,101
103,0,18,18,18,160,230,160,230,102
104,0,19,19,19,160,242,160,242,103
105,0,18,18,18,160,251,160,251,104
106,0,17,17,17,159,265,159,265,105
107,0,17,17,17,158,276,158,276,106
108,0,19,19,19,158,288,158,288,107
109,0,19,19,19,158,301,158,301,108
110,0,20,20,20,158,312,158,312,109
111,0,20,20,20,157,326,157,326,110
112,0,19,19,19,159,340,159,340,111
113,0,19,19,19,159,354,159,354,112
114,0,20,20,20,157,366,157,366,113
115,0,21,21,21,159,382,159,382,114
116,0,21,21,21,159,397,159,397,115
117,0,21,21,21,158,412,158,412,116
118,0,26,26,26,159,424,159,424,117
119,0,22,22,22,159,444,159,444,118
120,0,22,22,22,158,458,158,458,119
121,0,21,21,21,159,474,159,474,120
122,0,20,20,20,159,491,159,491,121
123,0,21,21,21,158,508,158,508,122
124,0,21,21,21,158,525,158,525,123
125,0,23,23,23,160,541,160,541,124
126,0,23,23,23,160,560,160,560,125
127,0,21,21,21,160,581,160,581,126
128,0,21,21,21,159,597,159,597,127
129,0,24,24,24,159,613,159,613,128
130,0,22,22,22,160,633,160,633,129
131,0,21,21,21,159,651,159,651,130
132,0,19,19,19,159,653,159,653,131
133,0,19,19,19,158,645,158,645,132
134,0,20,20,20,159,636,159,636,133
135,0,20,20,20,159,629,159,629,134
136,0,19,19,19,159,621,159,621,135
137,0,19,19,19,159,614,159,614,136
138,0,19,19,19,159,607,159,607,137
139,0,19,19,19,159,601,159,601,138
140,0,19,19,19,159,594,159,594,139
141,0,18,18,18,159,588,159,588,140
142,0,19,19,19,159,582,159,582,141
143,0,21,21,21,159,576,159,576,142
144,0,20,20,20,159,572,159,572,143
145,0,22,22,22,159,564,159,564,144
146,0,21,21,21,158,561,158,561,145
147,0,20,20,20,157,555,157,555,146
148,0,21,21,21,159,552,159,552,147
149,0,21,21,21,159,549,159,549,148
150,0,21,21,21,159,544,159,544,149
151,0,20,20,20,157,542,157,542,150
152,0,20,20,20,158,540,158,540,151
153,0,20,20,20,159,536,159,536,152
154,0,20,20,20,158,534,158,534,153
155,0,20,20,20,157,532,157,532,154
156,0,20,20,20,157,529,157,529,155
157,0,20,20,20,158,529,158,529,156
158,0,20,20,20,159,530,159,530,157
159,0,20,20,20,159,527,159,527,158
160,0,20,20,20,157,527,157,527,159
161,0,19,19,19,159,528,159,528,160
162,0,21,21,21,158,528,158,528,161
163,0,19,19,19,157,528,157,528,162
164,0,19,19,19,157,529,157,529,163
165,0,20,20,20,159,530,159,530,164
166,0,19,19,19,158,531,158,531,165
167,0,20,20,20,156,534,156,534,166
168,0,19,19,19,158,536,158,536,167
169,0,19,19,19,157,538,157,538,168
170,0,19,19,19,157,540,157,540,169
171,0,19,19,19,156,543,156,543,170
172,0,20,20,20,156,548,156,548,171
173,0,19,19,19,156,552,156,552,172
174,0,21,21,21,157,552,157,552,173
175,0,20,20,20,157,561,157,561,174
176,0,20,20,20,157,564,157,564,175
177,0,20,20,20,156,567,156,567,176
178,0,21,21,21,156,573,156,573,177
179,0,21,21,21,157,578,157,578,178
180,0,20,20,20,155,585,155,585,179
181,0,19,19,19,156,592,156,592,180
182,0,18,18,18,156,597,156,597,181
183,0,17,17,17,157,604,157,604,182
184,0,18,18,18,157,610,157,610,183
185,0,18,18,18,157,618,157,618,184
186,0,18,18,18,157,625,157,625,185
187,0,19,19,19,157,634,157,634,186
188,0,18,18,18,156,643,156,643,187
189,0,18,18,18,156,651,156,651,188
190,0,18,18,18,156,660,156,660,189
191,0,17,17,17,156,658,156,658,190
192,0,17,17,17,156,654,156,654,191
193,0,18,18,18,156,649,156,649,192
194,0,17,17,17,156,648,156,648,193
195,0,17,17,17,155,645,155,645,194
196,0,18,18,18,156,642,156,642,195
197,0,18,18,18,155,640,155,640,196
198,0,18,18,18,156,640,156,640,197
199,0,18,18,18,156,639,156,639,198
200,0,18,18,18,156,636,156,636,199
201,0,18,18,18,155,636,155,636,200
202,0,18,18,18,153,635,153,635,201
203,0,19,19,19,155,636,155,636,202
204,0,17,17,17,154,636,154,636,203
205,0,18,18,18,155,636,155,636,204
206,0,18,18,18,156,639,156,639,205
207,0,17,17,17,153,638,153,638,206
208,0,18,18,18,153,641,153,641,207
209,0,18,18,18,154,642,154,642,208
210,0,17,17,17,154,644,154,644,209
211,0,17,17,17,155,646,155,646,210
212,0,18,18,18,153,650,153,650,211
213,0,18,18,18,153,651,153,651,212
214,0,18,18,18,153,656,153,656,213
215,0,17,17,17,153,660,153,660,214
216,0,18,18,18,154,660,154,660,215
217,0,17,17,17,153,658,153,658,216
218,0,16,16,16,152,659,152,659,217
219,0,16,16,16,153,659,153,659,218
220,0,17,17,17,151,657,151,657,219
221,0,17,17,17,150,658,150,658,220
222,0,17,17,17,152,659,152,659,221
223,0,18,18,18,151,660,151,660,222
224,0,17,17,17,152,660,152,660,223
225,0,17,17,17,152,662,152,662,224
226,0,17,17,17,150,661,150,661,225
227,0,17,17,17,151,660,151,660,226
228,0,18,18,18,150,663,150,663,227
229,0,17,17,17,152,663,152,663,228
230,0,17,17,17,149,662,149,662,229
231,0,17,17,17,150,660,150,660,230
232,0,17,17,17,148,662,148,662,231
233,0,17,17,17,150,663,150,663,232
234,0,18,18,18,149,663,149,663,233
235,0,17,17,17,150,663,150,663,234
236,0,17,17,17,148,662,148,662,235
237,0,17,17,17,150,663,150,663,236
238,0,17,17,17,149,663,149,663,237
239,0,18,18,18,147,664,147,664,238
240,0,17,17,17,148,663,148,663,239
241,0,17,17,17,149,662,149,662,240
242,0,17,17,17,149,663,149,663,241
243,0,17,17,17,147,662,147,662,242
244,0,17,17,17,148,662,148,662,243
245,0,17,17,17,147,662,147,662,244
246,0,17,17,17,148,663,148,663,245
247,0,18,18,18,145,663,145,663,246
248,0,17,17,17,147,664,147,664,247
249,0,16,16,16,147,663,147,663,248
250,0,18,18,18,147,664,147,664,249
251,0,18,18,18,146,663,146,663,250
252,0,16,16,16,147,663,147,663,251
253,0,17,17,17,146,664,146,664,252
254,0,17,17,17,146,663,146,663,253
255,0,17,17,17,146,665,146,665,254
256,0,17,17,17,147,663,147,663,255
257,0,16,16,16,144,663,144,663,256
258,0,17,17,17,147,663,147,663,257
259,0,17,17,17,144,666,144,666,258
260,0,18,18,18,146,663,146,663,259
261,0,17,17,17,144,661,144,661,260
262,0,16,16,16,144,664,144,664,261
263,0,16,16,16,144,663,144,663,262
264,0,17,17,17,143,664,143,664,263
265,0,17,17,17,144,663,144,663,264
266,0,17,17,17,144,664,144,664,265
267,0,17,17,17,141,663,141,663,266
268,0,17,17,17,144,664,144,664,267
269,0,17,17,17,143,663,143,663,268
270,0,17,17,17,143,664,143,664,269
271,0,17,17,17,142,664,142,664,270
272,0,17,17,17,143,665,143,665,271
273,0,16,16,16,141,664,141,664,272
274,0,17,17,17,141,663,141,663,273
275,0,16,16,16,142,664,142,664,274
276,0,17,17,17,142,663,142,663,275
277,0,17,17,17,141,663,141,663,276
278,0,17,17,17,140,663,140,663,277
279,0,18,18,18,140,666,140,666,278
280,0,17,17,17,139,663,139,663,279
281,0,18,18,18,140,663,140,663,280
282,0,17,17,17,139,663,139,663,281
283,0,17,17,17,141,663,141,663,282
284,0,17,17,17,139,666,139,666,283
