Thickness,COR_1,COR_err_1,COR_2,COR_err_2
0,0.6948240414601802,0.0032878490040405706,0.6928084041159397,0.003914999093655365
1,,,0.6672078736715429,0.004156643306407857
2,,,0.6350063813744048,0.002160965549550528
4,,,0.5649869427975223,0.003899667624883982
6,,,0.5308254462057097,0.0005174712412004235
8,,,0.5102171110472064,0.0018328039295886147
10,,,0.5121852753860089,0.0016083439401310838
12,,,0.5129386693180583,0.0031897658542981034
14,,,0.5218352914601484,0.004468963579589328
16,,,0.5326872493766521,0.0032288181882258508
18,,,0.5379860123348692,0.0011048560254820565
20,0.5442179273748472,0.0019094813126275844,0.5495346646761136,0.00164949554786551
25,,,0.5770720387996127,0.0007233778770186194
30,,,0.5963849998051296,0.0007012391779262298
35,,,0.6134805235574213,0.0017662024007054026
40,0.6263598414001169,0.001738362069467837,0.6281100401985665,7.247390008873939e-05
60,0.6619095288166488,0.00206422163016653,,
80,0.6728427172961324,0.0011955229113210575,,
100,0.663333791228547,0.002277519337750102,,
140,0.6123874744674868,0.0019002250849732226,,
180,0.5216020265153429,0.0006390348373996125,,
200,0.4632445609471742,0.003961307447110945,,
250,0.38237238255078204,0.017397826456441168,,
300,0.36453792731972906,0.006101951256198947,,
350,0.3359103981755382,0.005779805404567565,,
400,0.3329336887040527,0.008277731887578046,,
500,0.32781463617385026,0.005561181155541524,,
