dataset,point_index,x,y,yerr,x_label,y_label,notes
80 g/m2 paper at atmospheric pressure,0,0.0,0.7060930550644403,0.0018777566481771723,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,1,1.0,0.6542112551073949,0.002935533020593518,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,2,5.0,0.5155522419369266,0.0023172859143521765,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,3,10.0,0.4975442011122946,0.0015353443817519273,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,4,20.0,0.556553076447739,0.0016009567087035632,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,5,30.0,0.6172141374659779,0.0008320106186750595,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,6,40.0,0.6505680139931066,0.0007350862873678931,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,7,50.0,0.6681004882702083,0.0011648542504896458,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,8,75.0,0.6627762256621405,0.00393140855985172,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,9,100.0,0.635132511807631,0.0022549487461075188,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,10,150.0,0.5294622929740482,0.0007325945350954988,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,11,200.0,0.4328673419746729,0.002617056057058017,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,12,250.0,0.36585774880752275,0.009152384977210513,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at atmospheric pressure,13,300.0,0.3823824739561484,0.006883567906359642,Number of paper layers,Coefficient of restitution,"Atmospheric pressure measurement, approximately 1013 to 1030 mbar."
80 g/m2 paper at reduced pressure,0,1.0,0.7490242156719625,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,1,5.0,0.4100769816881991,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,2,10.0,0.3873082483904443,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,3,50.0,0.39808733297788823,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,4,150.0,0.3136401541301003,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,5,200.0,0.303808605286042,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,6,250.0,0.28248059754562493,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
80 g/m2 paper at reduced pressure,7,300.0,0.2695568413308707,0.0,Number of paper layers,Coefficient of restitution,"Reduced-pressure measurement, approximately 30 mbar."
