dataset,point_index,x,y,yerr,x_label,y_label,notes
5 paper layers,0,2.0,0.5070438598656876,0.0023149553446410467,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,1,6.0,0.49871667575540385,0.006299131838919776,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,2,9.0,0.5099109363043312,0.0051207335892321515,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,3,10.0,0.5017519375300057,0.0034778311204616188,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,4,11.0,0.5085207500137656,0.003218088038231746,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,5,12.0,0.5063658237626432,0.005697584484888921,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,6,13.0,0.5038705253489049,0.004642318224805742,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
5 paper layers,7,14.0,0.50956589210421,0.00011174093113883303,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 5 paper layers.
10 paper layers,0,1.0,0.4884771578483749,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,1,2.0,0.4891834523558101,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,2,3.0,0.48770429380615166,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,3,4.0,0.4911410369893354,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,4,5.0,0.4891968478854976,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,5,6.0,0.48374447144391,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,6,7.0,0.4905732329017815,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,7,8.0,0.4851874568309942,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,8,9.0,0.48503872929249875,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,9,10.0,0.4898462722201274,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,10,11.0,0.4937377568597208,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,11,12.0,0.4887375963783714,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,12,13.0,0.49191117383904653,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
10 paper layers,13,14.0,0.4928951225159072,,Distance from edge [cm],Coefficient of restitution,COR measured at different distances from the edge for a stack of 10 paper layers. No repeated-measurement SEM included.
50 paper layers,0,1.0,0.6139417248319083,,Distance from edge [cm],Coefficient of restitution,Retry measurement for a stack of 50 paper layers.
50 paper layers,1,2.0,0.6142479310100201,,Distance from edge [cm],Coefficient of restitution,Retry measurement for a stack of 50 paper layers.
50 paper layers,2,3.0,0.6149560952301881,,Distance from edge [cm],Coefficient of restitution,Retry measurement for a stack of 50 paper layers.
