dataset,point_index,x,y,yerr,x_label,y_label,notes
80 g/m2 paper,0,0.0,0.7060930550644403,0.0018777566481771723,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,1,0.11365455,0.6542112551073949,0.002935533020593518,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,2,0.56827275,0.5155522419369266,0.0023172859143521765,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,3,1.1365455,0.4975442011122946,0.0015353443817519273,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,4,2.273091,0.556553076447739,0.0016009567087035632,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,5,3.4096365,0.6172141374659779,0.0008320106186750595,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,6,4.546182,0.6505680139931066,0.0007350862873678931,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,7,5.6827274999999995,0.6681004882702083,0.0011648542504896458,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,8,8.52409125,0.6627762256621405,0.00393140855985172,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,9,11.365454999999999,0.635132511807631,0.0022549487461075188,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,10,17.0481825,0.5294622929740482,0.0007325945350954988,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,11,22.730909999999998,0.4328673419746729,0.002617056057058017,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,12,28.413637499999997,0.36585774880752275,0.009152384977210513,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
80 g/m2 paper,13,34.096365,0.3823824739561484,0.006883567906359642,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 80 g/m2 paper.
120 g/m2 paper,0,0.0,0.7074668002161975,0.002838917056044878,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 120 g/m2 paper.
120 g/m2 paper,1,0.16554386,0.6093683130130012,0.0012816675093099265,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 120 g/m2 paper.
120 g/m2 paper,2,0.49663157999999996,0.5000486401458023,0.002063910155556746,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 120 g/m2 paper.
120 g/m2 paper,3,0.8277192999999999,0.49154197634001295,0.0026558388292180603,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 120 g/m2 paper.
120 g/m2 paper,4,1.1588070199999998,0.5055072255110191,0.0016535821488859188,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 120 g/m2 paper.
120 g/m2 paper,5,1.6554385999999999,0.5421957212030453,0.002293777588643098,Measured stack height [mm],Coefficient of restitution,Stack height estimated from laser-measured effective cell thickness for 120 g/m2 paper.
