dataset,point_index,x,y,yerr,x_label,y_label,notes
40 g/m2 paper,0,0.0,0.7070894567537539,0.001269126871727362,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,1,1.0,0.6787731867608059,0.0020705512987995935,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,2,2.0,0.6515589676430431,0.004165436804322989,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,3,5.0,0.5851195570487125,0.006735856711848089,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,4,10.0,0.5263251655991736,0.006062663476692668,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,5,20.0,0.512349227400358,0.005959702059488416,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,6,30.0,0.5539954486475657,0.0025570901710272073,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,7,40.0,0.5844450976779455,0.006895115543827165,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,8,50.0,0.6046769365851825,0.003905022627483409,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,9,75.0,0.6550003310558413,0.0010714175091607575,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,10,100.0,0.6675499346134806,0.001974370552459406,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,11,150.0,0.6102567798746491,0.0041585064803242614,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,12,200.0,0.5517792109134286,0.006062902694946752,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,13,250.0,0.4693755044824622,0.0037884547864293168,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,14,300.0,0.4105889283009993,0.0018544101672307452,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,15,350.0,0.4087873013050432,0.014647469855751305,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,16,400.0,0.378508686072717,0.0025062893586056782,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,17,425.0,0.3606204179530013,0.008910982632975682,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,18,450.0,0.3736842926790997,0.004442376358013941,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
40 g/m2 paper,19,500.0,0.3725552275328359,0.0025336670724282126,Number of paper layers,Coefficient of restitution,Final averaged COR data for 40 g/m2 paper.
80 g/m2 paper,0,0.0,0.7060930550644403,0.0018777566481771723,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,1,1.0,0.6542112551073949,0.002935533020593518,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,2,5.0,0.5155522419369266,0.0023172859143521765,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,3,10.0,0.4975442011122946,0.0015353443817519273,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,4,20.0,0.556553076447739,0.0016009567087035632,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,5,30.0,0.6172141374659779,0.0008320106186750595,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,6,40.0,0.6505680139931066,0.0007350862873678931,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,7,50.0,0.6681004882702083,0.0011648542504896458,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,8,75.0,0.6627762256621405,0.00393140855985172,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,9,100.0,0.635132511807631,0.0022549487461075188,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,10,150.0,0.5294622929740482,0.0007325945350954988,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
80 g/m2 paper,11,200.0,0.4328673419746729,0.002617056057058017,Number of paper layers,Coefficient of restitution,"Final averaged COR data for 80 g/m2 paper, new paper."
