dataset,point_index,x,y,yerr,x_label,y_label,notes
80 g/m2 total air thickness,0,0.0,0.01,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,1,5.0,0.07999999999999996,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,2,10.0,0.15999999999999992,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,3,15.0,0.24,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,4,20.0,0.31999999999999984,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,5,25.0,0.41999999999999993,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,6,30.0,0.45999999999999996,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,7,35.0,0.54,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,8,40.0,0.6200000000000001,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,9,45.0,0.6600000000000001,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,10,50.0,0.7199999999999998,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,11,55.0,0.7999999999999998,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,12,60.0,0.8799999999999999,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,13,65.0,0.9299999999999997,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,14,70.0,1.0,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,15,75.0,1.0399999999999991,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,16,80.0,1.1600000000000001,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,17,85.0,1.1899999999999995,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,18,90.0,1.25,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,19,95.0,1.3100000000000005,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
80 g/m2 total air thickness,20,100.0,1.4100000000000001,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 80 g/m2 paper.
120 g/m2 total air thickness,0,0.0,0.01,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,1,5.0,0.06999999999999995,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,2,10.0,0.15999999999999992,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,3,15.0,0.22999999999999998,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,4,20.0,0.33000000000000007,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,5,25.0,0.3600000000000003,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,6,30.0,0.4400000000000004,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,7,35.0,0.5300000000000002,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,8,40.0,0.6299999999999999,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,9,45.0,0.6399999999999997,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,10,50.0,0.8000000000000007,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,11,55.0,0.8499999999999996,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,12,60.0,0.9600000000000009,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,13,65.0,1.0500000000000007,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,14,70.0,1.1099999999999994,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,15,75.0,1.2100000000000009,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,16,80.0,1.2799999999999994,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,17,85.0,1.2899999999999991,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
120 g/m2 total air thickness,18,90.0,1.3200000000000003,,Number of paper layers,Total air thickness [mm],Measured stack height minus paper-only thickness for 120 g/m2 paper.
80 g/m2 air thickness per layer,0,5.0,0.015999999999999993,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,1,10.0,0.015999999999999993,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,2,15.0,0.016,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,3,20.0,0.015999999999999993,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,4,25.0,0.016799999999999995,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,5,30.0,0.015333333333333332,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,6,35.0,0.01542857142857143,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,7,40.0,0.015500000000000003,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,8,45.0,0.01466666666666667,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,9,50.0,0.014399999999999994,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,10,55.0,0.014545454545454542,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,11,60.0,0.014666666666666665,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,12,65.0,0.014307692307692303,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,13,70.0,0.014285714285714285,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,14,75.0,0.013866666666666656,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,15,80.0,0.014500000000000002,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,16,85.0,0.013999999999999993,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,17,90.0,0.013888888888888888,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,18,95.0,0.013789473684210532,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
80 g/m2 air thickness per layer,19,100.0,0.014100000000000001,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 80 g/m2 paper.
120 g/m2 air thickness per layer,0,5.0,0.01399999999999999,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
120 g/m2 air thickness per layer,1,10.0,0.015999999999999993,,Number of paper layers,Air thickness per layer [mm],Total air thickness divided by number of layers for 120 g/m2 paper.
