dataset,point_index,x,y,yerr,x_label,y_label,notes
80 g/m2 measured stack height,0,0.0,0.01,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,1,5.0,0.58,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,2,10.0,1.16,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,3,15.0,1.74,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,4,20.0,2.32,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,5,25.0,2.92,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,6,30.0,3.46,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,7,35.0,4.04,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,8,40.0,4.62,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,9,45.0,5.16,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,10,50.0,5.72,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,11,55.0,6.3,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,12,60.0,6.88,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,13,65.0,7.43,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,14,70.0,8.0,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,15,75.0,8.54,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,16,80.0,9.16,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,17,85.0,9.69,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,18,90.0,10.25,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,19,95.0,10.81,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 measured stack height,20,100.0,11.41,,Number of paper layers,Measured stack height [mm],Laser displacement measurement of total stack height for 80 g/m2 paper.
80 g/m2 paper-only estimate,0,0.0,0.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,1,5.0,0.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,2,10.0,1.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,3,15.0,1.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,4,20.0,2.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,5,25.0,2.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,6,30.0,3.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,7,35.0,3.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,8,40.0,4.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,9,45.0,4.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,10,50.0,5.0,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
80 g/m2 paper-only estimate,11,55.0,5.5,,Number of paper layers,Paper-only thickness [mm],"Estimated paper thickness without air gaps, using single-sheet paper thickness."
